CustomerID,CustomerCode,Customer Name,CustomerType,Age,MobileNumber,City,State,Country,Pincode,Occupation,IndustryType,AnnualIncome,IncomeBracket,CustomerRole,InterestedPropertyType,PreferredCity,BudgetMin,BudgetMax,AssignedAgentID,LeadSource,CustomerRating,SatisfactionScore,TotalPropertiesBought,TotalPropertiesLeased,FirstContactDate,LastInteractionDate,CustomerStatus,IsRepeatCustomer
1,CUST-0001,Kabir Bhatia,Individual,31,8762238695,Ahmedabad,Gujarat,India,440844,Salaried,IT,3266179,5–10L,Seller,Apartment,Ahmedabad,3797267,6003280,28,Referral,3.8,3.6,3,0,2022-08-08,2025-12-19,Active,Yes
2,CUST-0002,Reyansh Kumar,Company,42,8384388986,Delhi,Delhi,India,403380,Business,Finance,4614106,10L+,Owner,Apartment,Delhi,2132404,8414321,4,Ads,3.6,4.4,2,1,2023-02-02,2024-09-13,Active,No
3,CUST-0003,Mihir Agarwal,Individual,33,8314678180,Pune,Maharashtra,India,536323,Business,Manufacturing,1425037,10L+,Tenant,Apartment,Pune,2178420,16413299,72,Ads,3.4,3.7,3,2,2021-09-03,2024-08-06,Active,Yes
4,CUST-0004,Ira Kapoor,Company,41,8460090966,Hyderabad,Telangana,India,447941,Salaried,Finance,2349929,5–10L,Tenant,Apartment,Hyderabad,3040331,14613315,1,Referral,3.8,3.2,2,0,2024-06-12,2025-11-25,Active,Yes
5,CUST-0005,Ishaan Saxena,Company,52,8839549320,Pune,Maharashtra,India,528108,Salaried,Manufacturing,4990605,10L+,Buyer,Apartment,Pune,3257094,16867336,73,Ads,3.2,3.1,3,1,2021-08-05,2025-05-30,Active,No
6,CUST-0006,Diya Chopra,Individual,42,8881665137,Pune,Maharashtra,India,559647,Self Employed,IT,1547400,5–10L,Seller,Villa,Pune,4065509,17839621,42,Website,3.3,4.7,0,1,2022-08-09,2025-06-15,Active,Yes
7,CUST-0007,Ira Mehta,Individual,29,8505065526,Pune,Maharashtra,India,572897,Business,IT,344313,0–5L,Tenant,Plot,Pune,4869009,14537211,64,Walk-in,4.4,4.2,3,0,2024-11-29,2025-08-26,Active,No
8,CUST-0008,Saanvi Singh,Individual,53,8681080176,Ahmedabad,Gujarat,India,584225,Business,Manufacturing,4761500,10L+,Tenant,Villa,Ahmedabad,4753055,15549865,89,Walk-in,4.9,3.6,0,1,2021-06-08,2025-09-17,Active,No
9,CUST-0009,Aanya Mehta,Individual,46,8367039950,Delhi,Delhi,India,433799,Self Employed,Retail,3633430,10L+,Tenant,Villa,Delhi,4133035,17547584,55,Referral,3.5,4,2,0,2021-07-08,2025-10-11,Active,No
10,CUST-0010,Riya Reddy,Individual,51,8373248154,Hyderabad,Telangana,India,513316,Business,Manufacturing,3087492,0–5L,Seller,Plot,Hyderabad,2830727,10036663,98,Website,3.2,3.9,2,1,2024-10-20,2024-06-03,Active,Yes
